,Client,Product Code,Description,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,Total Out,Avg/Wk,Current SOH,Weeks Cover,Forecasted Values:
87,P2C,BWR+2-TEE-S,BWR+2-TEE-S  (EACH),0,0,0,1,0,0,0,1,2,0,0,1,5,0.1,0,0,15
88,P2C,BWR+2-TEE-XL,BWR+2-TEE-XL  (EACH),0,0,0,0,2,6,2,0,3,0,4,3,20,0.4,0,0,18
89,P2C,BWR+2-TEE-XXL,BWR+2-TEE-XXL  (EACH),0,0,0,0,2,5,0,0,6,1,1,0,15,0.3,0,0,15
90,P2C,CASA-BLA-L,Casa Martini - Black Size L (Each),6,2,4,3,5,0,0,0,0,0,0,0,20,0.4,20,52.0,0
91,P2C,CASA-BLA-M,Casa Martini - Black Size M (Each),1,2,5,0,1,2,0,0,0,0,0,0,11,0.2,14,66.2,2
92,P2C,CASA-BLA-XL,Casa Martini - Black Size XL (Each),10,2,5,4,2,0,0,0,0,0,0,0,23,0.4,5,11.3,0
93,P2C,CASA-BLA-XXL,Casa Martini - Black Size XXL (Each),5,2,3,7,0,0,0,0,0,0,0,0,17,0.3,3,9.2,6
94,P2C,CASA-WHI-L,Casa Martini - White Size L (Each),6,4,2,1,4,1,0,0,0,0,0,0,18,0.3,21,60.7,1
95,P2C,CASA-WHI-M,Casa Martini - White Size M (Each),0,3,3,1,3,2,0,0,0,0,0,0,12,0.2,16,69.3,2
96,P2C,CASA-WHI-XL,Casa Martini - White Size XL (Each),1,1,6,0,5,0,0,0,0,0,0,0,13,0.3,3,12.0,0
97,P2C,CREW-BLA-L,Crew Neck Black L (EACH),8,7,5,1,8,2,3,0,3,1,2,3,43,0.8,4,4.8,15
98,P2C,CREW-BLA-M,Crew Neck Black Size M (EACH),4,5,6,1,3,1,0,1,0,1,2,3,27,0.5,9,17.3,6
99,P2C,CREW-BLA-S,Crew Neck Black Size S (EACH),0,0,0,0,0,1,0,2,0,1,1,1,6,0.1,0,0,3
100,P2C,CREW-BLA-XL,Crew Neck Black XL (EACH),9,7,1,1,8,5,0,1,0,2,2,1,37,0.7,1,1.4,21
101,P2C,CREW-BLA-XXL,Crew Neck Black XXL (EACH),0,0,0,0,1,8,1,0,4,1,0,1,16,0.3,0,0,24
102,P2C,CREW-GRE-L,Crew Neck Grey L (EACH),4,7,5,1,5,6,2,1,3,12,1,4,51,1.0,0,0,15
103,P2C,CREW-GRE-M,Crew Neck Grey M (EACH),8,3,12,1,0,1,3,3,1,3,3,2,40,0.8,0,0,12
104,P2C,CREW-GRE-S,Crew Neck Grey S (EACH),0,0,0,0,0,0,0,0,1,2,2,1,6,0.1,0,0,15
105,P2C,CREW-GRE-XL,Crew Neck Grey XL (EACH),1,6,6,0,2,4,1,4,3,6,6,2,41,0.8,0,0,6
106,P2C,CREW-GRE-XXL,Crew Neck Grey XXL (EACH),0,0,5,3,1,2,0,3,0,1,1,1,17,0.3,0,0,6
107,P2C,CUBE-BLA-L,Green Cube Tee L (EACH),2,1,2,0,3,6,3,0,0,0,0,0,17,0.3,0,0,12
108,P2C,CUBE-BLA-M,Green Cube Tee M (EACH),2,1,1,1,0,0,5,0,0,0,0,0,10,0.2,3,15.6,3
109,P2C,CUBE-BLA-XL,Green Cube Tee Xl (EACH),1,5,2,1,1,3,0,0,0,0,0,0,13,0.3,2,8.0,6
110,P2C,CUBE-BLA-XXL,Green Cube Tee Xxl (EACH),1,1,1,1,1,3,2,0,0,0,0,0,10,0.2,0,0,6
111,P2C,GLOOSE-B-L,Getloose Tee - Black Size L (EACH),31,14,7,5,8,13,0,0,0,0,0,5,83,1.6,0,0,66
112,P2C,GLOOSE-B-M,Getloose Tee - Black Size M (EACH),16,8,1,1,1,11,0,0,0,0,0,6,44,0.8,1,1.2,11
113,P2C,GLOOSE-B-S,Getloose Tee - Black Size S (EACH),0,0,0,0,0,0,1,1,2,2,0,0,6,0.1,0,0,15
114,P2C,GLOOSE-B-XL,Getloose Tee - Black Size XL (EACH),1,17,7,4,5,8,0,0,0,0,1,4,47,0.9,0,0,12
115,P2C,GLOOSE-B-XXL,Getloose Tee - Black Size XXL (EACH),3,1,4,9,3,6,0,0,0,0,0,0,26,0.5,14,28.0,6
116,P2C,GREEN-JER-M,New Green Jersey Tee -  Size M (EACH),0,0,7,6,5,0,0,0,1,1,4,2,26,0.5,0,0,15
117,P2C,HOOD-AB-DGRA-XL,Hoodie - Charcoal Armband Xl (EACH),13,0,0,0,0,0,0,0,0,0,0,0,13,0.3,5,20.0,0
118,P2C,HOOD-AB-DGRA-XXL,Hoodie - Charcoal Armband Xxl (EACH),12,0,0,0,0,0,0,0,0,0,0,0,12,0.2,0,0,0
119,P2C,HOOD-PR-BLA-XXL,Hoodie - Black Printed Size Xxl (EACH),2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,338.0,0
120,P2C,HOODBLACK,Hooded Poncho - Black (EACH),3,6,2,1,3,0,5,3,1,3,1,0,28,0.5,2,3.7,3
121,P2C,HOODBLUE,Hooded Poncho - Blue (EACH),4,10,7,3,2,3,5,4,4,4,4,1,51,1.0,3,3.1,9
122,P2C,HOODIE-AB-DGRA-L,Hoodie - Charcoal Armband L (EACH),24,0,0,0,0,0,0,0,0,0,0,0,24,0.5,8,17.3,0
123,P2C,HOODIE-AB-DGRA-M,Hoodie - Charcoal Armband M (EACH),18,0,0,0,0,0,0,0,0,0,0,0,18,0.3,8,23.1,0
124,P2C,HOODIE-AG-L,Hoodie - Army Green Size L (EACH),20,0,0,0,0,0,0,0,0,0,0,0,20,0.4,5,13.0,0
125,P2C,HOODIE-AG-M,Hoodie - Army Green Size M (EACH),13,0,0,0,0,0,0,0,0,0,0,0,13,0.3,3,12.0,0
126,P2C,HOODIE-AG-XL,Hoodie - Army Green Size Xl (EACH),7,0,0,0,0,0,0,0,0,0,0,0,7,0.1,15,111.4,0
127,P2C,HOODIE-AG-XXL,Hoodie - Army Green Size Xxl (EACH),7,0,0,0,0,0,0,0,0,0,0,0,7,0.1,5,37.1,9
128,P2C,HOODIE-BLA-L,Original Hoodie - Black Size L (Each),5,28,13,6,3,7,3,5,5,16,22,10,123,2.4,1,0.4,18
129,P2C,HOODIE-BLA-M,Original Hoodie - Black Size M (Each),1,7,10,1,5,9,3,5,5,17,25,8,96,1.8,0,0,15
130,P2C,HOODIE-BLA-S,Original Hoodie - Black Size S (Each),0,0,0,0,0,0,0,0,1,5,12,2,20,0.4,0,0,15
131,P2C,HOODIE-BLA-XL,Original Hoodie - Black Size XL (Each),16,10,10,5,4,7,3,3,7,12,16,8,101,1.9,15,7.7,7
132,P2C,HOODIE-BLA-XXL,Original Hoodie - Black Size XXL (Each),0,0,0,2,4,8,3,2,5,11,14,8,57,1.1,1,0.9,12
133,P2C,HOODIE-F-BLA-L,Hoodie - Black On Black Size L (EACH),14,0,0,0,0,0,0,0,1,0,16,11,42,0.8,62,76.8,0
134,P2C,HOODIE-F-BLA-M,Hoodie - Black On Black Size M (EACH),11,0,0,0,0,0,0,0,0,5,17,9,42,0.8,43,53.2,0
135,P2C,HOODIE-F-BLA-S,Hoodie - Black On Black Size S (EACH),5,0,0,0,0,0,0,0,0,0,0,0,5,0.1,14,145.6,0
136,P2C,HOODIE-F-BLA-XL,Hoodie - Black On Black Size XL (EACH),13,0,0,0,0,0,1,0,0,0,12,11,37,0.7,36,50.6,0
137,P2C,HOODIE-F-BLA-XXL,Hoodie - Black On Black Size XXL (EACH),16,0,0,0,0,0,0,0,0,0,8,8,32,0.6,56,91.0,0
138,P2C,HOODIE-GRE-L,Hoodie - Grey Size L (EACH),11,15,10,1,2,4,2,1,7,10,18,14,95,1.8,53,29.0,4
139,P2C,HOODIE-GRE-M,Hoodie - Grey Size M (EACH),1,12,10,3,1,4,1,2,4,11,15,14,78,1.5,46,30.7,4
140,P2C,HOODIE-GRE-S,Hoodie - Grey Size S (EACH),0,0,1,1,0,0,0,1,0,6,5,3,17,0.3,0,0,15
141,P2C,HOODIE-GRE-XL,Hoodie - Grey Size XL (EACH),4,11,5,0,2,1,2,0,3,9,12,5,54,1.0,77,74.1,1
142,P2C,HOODIE-GRE-XXL,Hoodie - Grey Size XXL (EACH),3,12,3,1,3,4,0,3,2,8,9,3,51,1.0,27,27.5,4
143,P2C,HOODIE-GRE-XXXL,Hoodie - Grey Size XXXL (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15
144,P2C,HOODIE-MAR-L,Original Hoodie - Maroon Size L (Each),20,0,0,0,0,0,0,0,0,1,12,19,52,1.0,35,35.0,0
145,P2C,HOODIE-MAR-M,Original Hoodie - Maroon Size M (Each),17,0,0,0,0,0,0,0,0,1,19,14,51,1.0,37,37.7,0
146,P2C,HOODIE-MAR-S,Original Hoodie - Maroon Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15
147,P2C,HOODIE-MAR-XL,Original Hoodie - Maroon Size XL (Each),9,0,0,0,0,0,0,0,0,8,17,4,38,0.7,40,54.7,0
