,Client,Product Code,Description,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,May-16,Apr-16,Mar-16,Feb-16,Total Out,Avg/Wk,Current SOH,Weeks Cover,Forecasted Values:
150,P2C,HOODIE-MAR-M,Original Hoodie - Maroon Size M (Each),0,0,0,0,0,1,19,14,0,0,0,0,34,0.7,0,0.0,15
151,P2C,HOODIE-MAR-S,Original Hoodie - Maroon Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
152,P2C,HOODIE-MAR-XL,Original Hoodie - Maroon Size XL (Each),0,0,0,0,0,8,17,4,0,0,0,0,29,0.6,0,0.0,15
153,P2C,HOODIE-MAR-XXL,Original Hoodie - Maroon Size XXL (Each),0,0,0,0,0,1,5,11,0,0,0,0,17,0.3,0,0.0,15
154,P2C,HOODIE-ZIP-L,Zip Up Original Hoodie - Black Size L (Each),2,3,4,4,2,5,2,2,0,0,0,0,24,0.5,4,8.7,6
155,P2C,HOODIE-ZIP-M,Zip Up Original Hoodie - Black Size M (Each),1,1,4,2,0,5,1,3,0,0,0,0,17,0.3,15,45.9,1
156,P2C,HOODIE-ZIP-S,Zip Up Original Hoodie - Black Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
157,P2C,HOODIE-ZIP-XL,Zip Up Original Hoodie - Black Size XL (Each),1,2,0,2,1,1,2,5,0,0,0,0,14,0.3,8,29.7,3
158,P2C,HOODIE-ZIP-XXL,Zip Up Original Hoodie - Black Size XXL (Each),2,4,0,0,3,4,3,1,0,0,0,0,17,0.3,0,0.0,9
159,P2C,HOODPREM,Premium Hooded Poncho (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
160,P2C,HOODRAND,Hooded Poncho - Random (EACH),3,1,3,0,0,0,0,1,2,6,3,11,30,0.6,2,3.5,6
161,P2C,HOODRED,Hooded Poncho - Red (EACH),2,7,8,3,5,6,2,9,8,8,8,4,70,1.3,8,5.9,12
162,P2C,HOODTANK-WHI-XXL,Sleeveless Droptail Hoodie - White Size XXL (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
163,P2C,LATE-NOTE,$20 Voucher (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,175,,0
164,P2C,LAY-AG-L,Layered Tees - Without print - Army Green L (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10,,0
165,P2C,LAY-AG-M,Layered Tees - Without print - Army Green M (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,,6
166,P2C,LAY-AG-XL,Layered Tees - Without print - Army Green XL (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,,6
167,P2C,LAY-BLA-L,Layered Tees - Without print - Black L (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23,,0
168,P2C,LAY-BLA-M,Layered Tees - Without print - Black M (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,,0
169,P2C,LAY-BLA-XL,Layered Tees - Without print - Black XL (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,,9
170,P2C,LAY-BLA-XXL,Layered Tees - Without print - Black XXL (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,,15
171,P2C,LAY-DGRA-L,Layered Tees - Without print - Charrcoal L (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13,,0
172,P2C,LAY-DGRA-M,Layered Tees - Without print - Charrcoal M (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,,27
173,P2C,LAY-DGRA-XL,Layered Tees - Without print - Charrcoal XL (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13,,0
174,P2C,LAY-DGRA-XXL,Layered Tees - Without print - Charrcoal XXL (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,,12
